discount_percent,coupon_code,status
5,NEXUS5-1EA710DF,unused
5,NEXUS5-4110EAF3,unused
5,NEXUS5-503D4000,unused
5,NEXUS5-CA3FFBE6,unused
5,NEXUS5-09D553EE,unused
5,NEXUS5-D2FBD003,unused
5,NEXUS5-B1EF26F2,unused
5,NEXUS5-33CE92DA,unused
5,NEXUS5-A27176C1,unused
5,NEXUS5-A0B1A57D,unused
10,NEXUS10-F79A2EC2,unused
10,NEXUS10-B1241C23,unused
10,NEXUS10-9A5FFEE7,unused
10,NEXUS10-8BF33933,unused
10,NEXUS10-AAAB3C2C,unused
10,NEXUS10-B2912B05,unused
10,NEXUS10-2CD2D4F8,unused
10,NEXUS10-1CE8A1C7,unused
10,NEXUS10-70A55387,unused
10,NEXUS10-179B8781,unused
20,NEXUS20-9955679C,unused
20,NEXUS20-DF9CB4D1,unused
20,NEXUS20-8CF313A5,unused
20,NEXUS20-D57A9D55,unused
20,NEXUS20-CEA7DE82,unused
20,NEXUS20-6DF0140B,unused
20,NEXUS20-47D3E5FF,unused
20,NEXUS20-358A011B,unused
20,NEXUS20-6AB7CA70,unused
20,NEXUS20-433A01CC,unused
30,NEXUS30-F1723837,unused
30,NEXUS30-E958F66F,unused
30,NEXUS30-A81BD403,unused
30,NEXUS30-DE76F54D,unused
30,NEXUS30-1F693E87,unused
30,NEXUS30-AAB65F5B,unused
30,NEXUS30-C6E186F0,unused
30,NEXUS30-766826B3,unused
30,NEXUS30-0C6E29B0,unused
30,NEXUS30-318B7BFA,unused
40,NEXUS40-3E04F9D1,unused
40,NEXUS40-DB28D6C8,unused
40,NEXUS40-22126FCC,unused
40,NEXUS40-DAE3BC80,unused
40,NEXUS40-2E4C0BC0,unused
40,NEXUS40-9C1D5D1D,unused
40,NEXUS40-F56E06C0,unused
40,NEXUS40-DFDB51B1,unused
40,NEXUS40-D1D27501,unused
40,NEXUS40-EF84EDB9,unused
